item_number,sentence,sentenceB,sentenceC,letter,letter2,letter3,correctB,correct,correctC,gjt,escriba,feed_correct,feed_incorrect,feed_incorrect_1st,feed_incorrect_2nd,feed_incorrect_1and2,feed_incorrect_1and3,feed_incorrect_2and3,feed_incorrect_3rd,feedS_correct,feedS_incorrect,feed1,feed2,feed3,go_on,feed_series,get_it,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nofeed.thisRepN,nofeed.thisTrialN,nofeed.thisN,nofeed.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,grating_16.started,grating_16.stopped,text_31.started,text_31.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,grating_18.started,grating_18.stopped,text_33.started,text_33.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,grating_19.started,grating_19.stopped,text_34.started,text_34.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,grating_17.started,grating_17.stopped,text.started,text.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,grating_28.started,grating_28.stopped,text_29.started,text_29.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,grating_23.started,grating_23.stopped,text_20.started,text_20.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,grating_24.started,grating_24.stopped,text_21.started,text_21.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,grating_26.started,grating_26.stopped,text_23.started,text_23.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.started,key_resp_23.stopped,grating_5.started,grating_5.stopped,ISI_4.started,ISI_4.stopped,text_24.started,text_24.stopped,text_25.started,text_25.stopped,Press_4.keys,Press_4.corr,Press_4.rt,Press_4.started,Press_4.stopped,grating_6.started,grating_6.stopped,ISI_5.started,ISI_5.stopped,text_26.started,text_26.stopped,grating_2.started,grating_2.stopped,ISI_2.started,ISI_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,Press_2.keys,Press_2.corr,Press_2.rt,Press_2.started,Press_2.stopped,grating_13.started,grating_13.stopped,ISI_6.started,ISI_6.stopped,text_27.started,text_27.stopped,grating_3.started,grating_3.stopped,text_13.started,text_13.stopped,response,Print_response.started,Print_response.stopped,grating_10.started,grating_10.stopped,text10_3.started,text10_3.stopped,text11_3.started,text11_3.stopped,text13_3.started,text13_3.stopped,text_2.started,text_2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Press6_3.keys,Press6_3.rt,Press6_3.started,Press6_3.stopped,grating_4.started,grating_4.stopped,ISI_3.started,ISI_3.stopped,text_12.started,text_12.stopped,text_15.started,text_15.stopped,Press_3.keys,Press_3.corr,Press_3.rt,Press_3.started,Press_3.stopped,grating_14.started,grating_14.stopped,ISI_7.started,ISI_7.stopped,text_28.started,text_28.stopped,grating_12.started,grating_12.stopped,text10_5.started,text10_5.stopped,text11_5.started,text11_5.stopped,text13_5.started,text13_5.stopped,text_19.started,text_19.stopped,text_16.started,text_16.stopped,text_17.started,text_17.stopped,text_18.started,text_18.stopped,Press6_5.keys,Press6_5.rt,Press6_5.started,Press6_5.stopped,grating_22.started,grating_22.stopped,text_37.started,text_37.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,grating_15.started,grating_15.stopped,ISI_8.started,ISI_8.stopped,text_30.started,text_30.stopped,text_32.started,text_32.stopped,Press_5.keys,Press_5.corr,Press_5.rt,Press_5.started,Press_5.stopped,grating_20.started,grating_20.stopped,text_35.started,text_35.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,grating.started,grating.stopped,ISI.started,ISI.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,Press.keys,Press.corr,Press.rt,Press.started,Press.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.576447917810583,None,12.576447917810583,None,3,17.46424876083438,12.576447917810583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.059875451517655,None,30.059875451517655,None,3,36.42829834416443,30.059875451517655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.50669120944076,None,66.50669120944076,None,2,15.301336638205612,66.50669120944076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8195153539873,None,81.8195153539873,None,3,13.052496582549793,81.8195153539873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88188260907737,None,94.88188260907737,None,2,70.5891093205446,94.88188260907737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.48499946437005,None,165.48499946437005,None,3,14.44189565664783,165.48499946437005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.93773281476751,None,179.93773281476751,None,3,17.420865912165027,179.93773281476751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.37100706839556,None,197.37100706839556,None,3,8.41156679245978,197.37100706839556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
1,Jonas satt på rädslan.,Sara åkte till Portugal på semester.,None,V,P,None,2,3,None,BRA                        DÅLIG,Skriv in bokstäverna som visades efter varje mening i samma ordning som de visades och tryck ENTER.,Du fick alla meningar RÄTT!,Du fick alla meningar FEL!,Du gjorde ett fel i mening 1!,Du gjorde ett fel i mening 2!,Du gjorde ett fel i meningar 1 och 2!,Du gjorde ett fel i meningar 1 och 3!,Du gjorde ett fel i meningar 2 och 3!,Du gjorde ett fel i mening 3!,Bokstavsraden är KORREKT!,Bokstavsraden är INKORREKT!,'Jonas satt på rädslan' ÄR INTE RIMLIG.,'Sara åkte till Portugal på semester' ÄR RIMLIG.,'Kniven spottade på Victoria' ÄR INTE RIMLIG.,Tryck på någon av knapparna för att fortsätta med övningen.,Den korrekta bokstavssträngen är VP.,VP,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.86213549073727,None,0.009906723347739899,None,205.86213549073727,None,205.86213549073727,None,3,1,7.792237337474944,205.86213549073727,None,213.67502121673533,None,0.005486714764629141,None,213.67502121673533,None,215.71415975639502,None,0.0035435634235909674,None,215.71415975639502,None,215.71415975639502,None,2,1,2.9962454559627076,215.71415975639502,None,218.73490083782963,None,0.007226069992611883,None,218.73490083782963,None,220.76622206142747,None,220.76622206142747,None,VP,220.76622206142747,None,224.95570978715295,None,224.95570978715295,None,224.95570978715295,None,224.95570978715295,None,224.95570978715295,None,224.95570978715295,None,224.95570978715295,None,2,11.010359796036937,224.95570978715295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
1,Jonas satt på rädslan.,Sara åkte till Portugal på semester.,None,V,P,None,2,3,None,BRA                        DÅLIG,Skriv in bokstäverna som visades efter varje mening i samma ordning som de visades och tryck ENTER.,Du fick alla meningar RÄTT!,Du fick alla meningar FEL!,Du gjorde ett fel i mening 1!,Du gjorde ett fel i mening 2!,Du gjorde ett fel i meningar 1 och 2!,Du gjorde ett fel i meningar 1 och 3!,Du gjorde ett fel i meningar 2 och 3!,Du gjorde ett fel i mening 3!,Bokstavsraden är KORREKT!,Bokstavsraden är INKORREKT!,'Jonas satt på rädslan' ÄR INTE RIMLIG.,'Sara åkte till Portugal på semester' ÄR RIMLIG.,'Kniven spottade på Victoria' ÄR INTE RIMLIG.,Tryck på någon av knapparna för att fortsätta med övningen.,Den korrekta bokstavssträngen är VP.,VP,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NENA_033,2021_Mar_02_1239,Control Task #6k,3.2.4,99.99910194534793,
