upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1.5809123507,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,0.980669236789,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,1,1.39059777798,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,1,1.18069778183,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,1,0.940466278369,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,1,1.38018525408,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,1,1.22060021553,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,1,0.930649351483,2020_nov_27_1325,99.9733864327,Control Task #6k,001,NENA_021,
